,Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Nationality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
26,single,Over 23 years old,1.0,Journalism and Communication,daytime,Secondary education,130.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,134.0,no,no,yes,yes,female,yes,24.0,no,0.1882140226344338,6.0,6.0,6.0,13.833333333333334,0.0,0.0,6.0,7.0,6.0,12.333333333333334,0.0,16.2,0.3,-0.92,Graduate
27,single,2nd phase - general contingent,1.0,Nursing,daytime,Secondary education,145.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,Administrative staff,141.0,yes,no,no,yes,female,yes,19.0,no,0.0,8.0,8.0,8.0,13.3475,0.0,0.0,8.0,8.0,8.0,13.3475,0.0,9.4,-0.8,-3.12,Graduate
28,single,2nd phase - general contingent,3.0,Basic Education,daytime,Secondary education,132.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,Administrative staff,120.0,yes,no,no,yes,female,no,18.0,no,0.0,6.0,8.0,5.0,12.4,0.0,0.0,6.0,7.0,5.0,11.8,0.0,10.8,1.4,-0.08006514178705189,Dropout
29,married,Over 23 years old,1.0,Tourism,daytime,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133.1,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Administrative staff,170.0,no,no,yes,no,female,no,53.0,no,0.0,6.0,6.0,6.0,14.166666666666666,0.0,0.0,6.0,7.0,6.0,13.0,0.0,15.5,2.8,-4.06,Graduate
30,single,Technological specialization diploma holders,1.0,Veterinary Nursing,daytime,Technological specialization course,140.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,140.0,no,no,no,yes,female,no,20.0,no,0.0,5.0,7.349473483714728,3.0,13.0,2.0,0.0,5.0,12.0,3.0,12.0,1.0,9.4,-0.8,-3.12,Enrolled
31,single,Over 23 years old,1.0,Informatics Engineering,daytime,Secondary education,114.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,107.0,no,no,no,yes,male,no,26.0,no,0.0,5.0,12.0,1.0,10.0,0.0,0.0,5.0,11.0,2.0,13.0,4.0,7.6,2.6,0.32,Enrolled
32,married,1st phase - general contingent,4.0,Nursing,daytime,Secondary education,140.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Administrative staff,127.0,no,no,no,yes,male,no,26.0,no,0.0,8.0,8.0,4.179042378738802,13.075714285714286,0.0,0.0,8.0,8.0,7.0,13.075714285714286,0.0,10.8,1.4,1.74,Graduate
33,single,Over 23 years old,1.0,Management (evening attendance),evening,Secondary education,140.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,154.0,no,no,no,yes,female,no,29.0,no,0.0,5.0,14.0,2.0,10.5,0.0,0.0,5.0,9.0,0.0,0.0,0.0,16.2,1.2298957284038008,-0.92,Dropout
34,single,1st phase - general contingent,3.0,Nursing,daytime,Secondary education,129.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,127.0,yes,no,no,yes,female,no,20.0,no,0.0,7.0,7.0,6.0,12.633333333333333,0.0,0.0,7.0,7.0,6.0,12.633333333333333,0.0,7.6,2.6,0.32,Graduate
35,single,3rd phase - general contingent,1.0,Tourism,daytime,Secondary education,128.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,"Skilled Workers in Industry, Construction and Craftsmen",Installation and Machine Operators and Assembly Workers,116.0,yes,no,no,yes,female,yes,19.0,no,0.0,6.0,7.0,5.0,9.999381453987953,0.0,0.0,6.0,6.0,5.0,12.8,0.0,11.51991535071858,0.5,1.79,Dropout
36,single,Over 23 years old,1.0,Social Service,daytime,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133.1,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,102.0,no,no,yes,no,female,yes,22.279178162920896,no,0.0,6.0,6.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,8.9,1.4,3.51,Dropout
37,single,2nd phase - general contingent,1.0,Equinculture,daytime,Secondary education,125.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",132.0,yes,no,no,yes,male,yes,20.0,no,0.0,5.0,7.0,5.0,11.8,0.0,0.0,5.0,5.0,5.0,13.2,0.0,10.8,1.4,1.74,Graduate
38,married,Over 23 years old,1.0,Basic Education,daytime,Other - 11th year of schooling,133.1,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Administrative staff,145.0,no,no,no,yes,female,no,33.0,no,0.0,6.0,9.0,4.0,12.25,0.0,0.0,6.0,10.0,5.0,11.0,0.0,7.6,2.6,0.32,Enrolled
39,single,Over 23 years old,1.0,Advertising and Marketing Management,daytime,Secondary education,110.0,Portuguese,Unknown,Unknown,Student,Student,114.0,yes,no,no,yes,male,no,25.0,no,0.0,5.0,9.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,7.6,2.6,0.32,Dropout
40,single,1st phase - general contingent,1.0,Social Service,daytime,Secondary education,130.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Administrative staff,Installation and Machine Operators and Assembly Workers,118.0,no,no,no,yes,male,no,19.0,no,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,11.1,0.6,2.02,Dropout
41,single,International student (bachelor),1.0,Informatics Engineering,daytime,Secondary education,150.0,Santomean,Higher Education - Degree,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,Administrative staff,150.0,yes,no,yes,yes,male,no,26.0,yes,0.0,5.0,11.0,3.0,11.0,0.0,0.0,5.0,9.0,4.0,11.25,0.0,12.4,0.5,1.79,Dropout
42,single,Technological specialization diploma holders,1.0,Veterinary Nursing,daytime,Technological specialization course,140.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",140.0,no,no,no,yes,female,no,21.0,no,2.0,6.0,6.0,6.0,13.833333333333334,0.0,1.0,6.0,9.0,4.0,12.6,0.0,16.2,0.3,-0.92,Enrolled
43,single,1st phase - general contingent,5.0,Nursing,daytime,Secondary education,143.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Administrative staff,Unskilled Workers,123.0,yes,no,no,yes,female,no,18.0,no,0.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,7.6,2.6,0.32,Dropout
44,single,1st phase - general contingent,1.0,Management,daytime,Secondary education,131.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen",Unskilled Workers,132.0,yes,no,no,yes,female,yes,19.0,no,0.0,5.0,8.0,5.0,10.8,0.0,0.0,5.0,6.0,3.0,11.333333333333334,0.0,9.4,-0.8,-3.12,Graduate
45,single,1st phase - general contingent,1.0,Tourism,daytime,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133.1,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic education 1st cycle (4th/5th year) or equiv.,Administrative staff,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",101.0,no,no,no,yes,female,no,27.0,no,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,16.2,0.3,-0.92,Dropout
46,single,1st phase - general contingent,1.0,Journalism and Communication,daytime,Secondary education,117.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",110.0,yes,no,yes,no,female,no,18.0,no,0.0,6.0,6.0,5.0,11.833333333333334,0.0,0.0,6.0,8.0,4.0,12.25,0.0,15.5,2.8,-4.06,Dropout
47,single,1st phase - general contingent,1.0,Animation and Multimedia Design,daytime,Secondary education,150.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,Armed Forces Professions,134.0,yes,no,no,yes,male,no,19.0,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9343089774211855,0.0,0.0,0.0,0.0,12.7,3.7,-1.7,Dropout
48,single,Holders of other higher courses,1.0,Nursing,daytime,Higher education - degree,140.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,140.0,no,no,no,yes,female,no,27.0,no,0.0,7.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,4.007985601919744,0.0,0.0,12.4,0.5,1.79,Dropout
49,married,1st phase - general contingent,1.0,Oral Hygiene,daytime,Secondary education,130.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",120.0,no,no,no,no,female,no,26.0,no,0.0,7.0,7.0,1.0,10.0,0.0,0.0,7.0,8.0,0.0,9.626998241540127,0.0,15.5,2.8,-4.06,Dropout
50,single,1st phase - special contingent (Madeira Island),3.0,Journalism and Communication,daytime,Secondary education,137.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",139.0,yes,no,no,yes,female,no,20.0,no,0.0,6.0,9.0,6.0,12.571428571428571,0.0,0.0,6.0,7.0,4.007985601919744,12.571428571428571,0.0,10.8,1.4,1.74,Graduate
51,single,2nd phase - general contingent,1.0,Social Service,daytime,Secondary education,161.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Personal Services, Security and Safety Workers and Sellers","Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",152.0,yes,no,no,yes,female,yes,18.0,no,0.0,6.0,7.349473483714728,6.0,13.714285714285714,0.0,0.0,6.0,7.0,6.0,14.0,0.0,12.4,0.5,1.79,Graduate
52,single,Over 23 years old,1.0,Management (evening attendance),evening,Secondary education,120.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,"Personal Services, Security and Safety Workers and Sellers",134.0,no,no,no,no,female,no,26.0,no,0.0,5.0,12.0,2.0,11.666666666666666,0.0,0.0,5.0,10.0,1.0,10.0,4.0,16.2,0.3,-0.92,Dropout
53,single,2nd phase - general contingent,1.0,Animation and Multimedia Design,daytime,Secondary education,121.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",114.0,no,no,no,no,female,no,19.0,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.9,-0.3,0.79,Dropout
54,single,Over 23 years old,1.0,Veterinary Nursing,daytime,Secondary education,130.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,Installation and Machine Operators and Assembly Workers,144.0,no,no,no,yes,male,no,26.0,no,0.1882140226344338,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,12.4,0.5,1.79,Dropout
55,single,2nd phase - general contingent,5.0,Informatics Engineering,daytime,Secondary education,122.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Intermediate Level Technicians and Professions,Installation and Machine Operators and Assembly Workers,116.0,yes,no,no,yes,male,no,18.0,no,0.0,5.0,5.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,8.9,1.4,3.51,Enrolled
56,single,3rd phase - general contingent,6.0,Nursing,daytime,Secondary education,141.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",126.0,yes,no,no,yes,female,no,18.0,no,0.0,8.0,8.0,8.0,12.93375,0.0,0.0,8.0,8.0,8.0,12.93375,0.0,9.4,-0.8,-3.12,Graduate
57,single,1st phase - general contingent,1.0,Social Service,daytime,Secondary education,147.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",135.0,no,no,no,yes,female,no,18.0,no,0.0,6.0,7.0,6.0,13.857142857142858,0.0,0.0,6.0,7.0,6.0,12.714285714285714,0.0,13.9,-0.3,0.79,Graduate
58,single,Over 23 years old,1.0,Veterinary Nursing,daytime,Other - 11th year of schooling,133.1,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Other Situation,Other Situation,128.0,no,no,no,yes,female,no,22.279178162920896,no,0.0,6.0,8.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,7.6,2.6,0.32,Dropout
59,single,1st phase - general contingent,4.0,Journalism and Communication,daytime,Secondary education,134.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Installation and Machine Operators and Assembly Workers,120.0,yes,no,no,yes,female,yes,18.0,no,0.0,6.0,7.0,6.0,12.571428571428571,0.0,0.0,6.0,7.0,6.0,12.571428571428571,0.0,10.8,1.4,1.74,Graduate
